,size,maxtime,regime,strategy
0,330,117,"[[157.1875, 157.125, 8630.0, 3672.0, 157.25, 157.09375, 2257.0, 4452.0, 157.3125, 157.0625, 1441.0, 418.0, 157.375, 157.03125, 439.0, 305.0, 157.4375, 157.0, 34.0, 1001.0], [157.1875, 157.125, 8632.0, 3652.0, 157.25, 157.09375, 2259.0, 4466.0, 157.3125, 157.0625, 1441.0, 418.0, 157.375, 157.03125, 439.0, 305.0, 157.4375, 157.0, 34.0, 1001.0], [157.1875, 157.125, 8632.0, 3615.0, 157.25, 157.09375, 2259.0, 4467.0, 157.3125, 157.0625, 1441.0, 418.0, 157.375, 157.03125, 439.0, 305.0, 157.4375, 157.0, 34.0, 1001.0], [157.125, 157.125, 4.0, 3593.0, 157.1875, 157.09375, 8632.0, 4467.0, 157.25, 157.0625, 2259.0, 418.0, 157.3125, 157.03125, 1441.0, 305.0, 157.375, 157.0, 439.0, 1001.0], [157.1875, 157.125, 8632.0, 3567.0, 157.25, 157.09375, 2259.0, 4467.0, 157.3125, 157.0625, 1441.0, 418.0, 157.375, 157.03125, 439.0, 305.0, 157.4375, 157.0, 34.0, 1001.0], [157.1875, 157.125, 8632.0, 3528.0, 157.25, 157.09375, 2259.0, 4498.0, 157.3125, 157.0625, 1441.0, 418.0, 157.375, 157.03125, 439.0, 305.0, 157.4375, 157.0, 34.0, 1001.0], [157.1875, 157.125, 8632.0, 3511.0, 157.25, 157.09375, 2282.0, 4621.0, 157.3125, 157.0625, 1441.0, 418.0, 157.375, 157.03125, 439.0, 305.0, 157.4375, 157.0, 34.0, 1001.0], [157.1875, 157.125, 8651.0, 3484.0, 157.25, 157.09375, 2282.0, 4621.0, 157.3125, 157.0625, 1441.0, 418.0, 157.375, 157.03125, 439.0, 305.0, 157.4375, 157.0, 34.0, 1001.0], [157.125, 157.125, 3.0, 3434.0, 157.1875, 157.09375, 8634.0, 4627.0, 157.25, 157.0625, 2282.0, 418.0, 157.3125, 157.03125, 1441.0, 305.0, 157.375, 157.0, 439.0, 1001.0], [157.125, 157.125, 26.0, 3394.0, 157.1875, 157.09375, 8827.0, 4633.0, 157.25, 157.0625, 2282.0, 418.0, 157.3125, 157.03125, 1441.0, 305.0, 157.375, 157.0, 439.0, 1001.0]]",POV
0,245,15,"[[157.125, 157.09375, 196.0, 680.0, 157.1875, 157.0625, 9463.0, 48.0, 157.25, 157.03125, 2598.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 205.0, 732.0, 157.1875, 157.0625, 9463.0, 48.0, 157.25, 157.03125, 2599.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 205.0, 783.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2622.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 214.0, 829.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2622.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 259.0, 888.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2645.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 281.0, 932.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2645.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 289.0, 955.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2645.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 311.0, 970.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2646.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.09375, 157.09375, 38.0, 997.0, 157.125, 157.0625, 311.0, 49.0, 157.1875, 157.03125, 9463.0, 47.0, 157.25, 157.0, 2646.0, 659.0, 157.3125, 156.96875, 1651.0, 804.0], [157.09375, 157.09375, 25.0, 984.0, 157.125, 157.0625, 311.0, 49.0, 157.1875, 157.03125, 9463.0, 47.0, 157.25, 157.0, 2646.0, 659.0, 157.3125, 156.96875, 1651.0, 804.0]]",TWAP
0,365,24,"[[157.125, 157.09375, 196.0, 678.0, 157.1875, 157.0625, 9463.0, 48.0, 157.25, 157.03125, 2598.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 196.0, 697.0, 157.1875, 157.0625, 9463.0, 48.0, 157.25, 157.03125, 2598.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 204.0, 710.0, 157.1875, 157.0625, 9463.0, 48.0, 157.25, 157.03125, 2599.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 205.0, 752.0, 157.1875, 157.0625, 9463.0, 48.0, 157.25, 157.03125, 2622.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 205.0, 767.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2622.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 206.0, 805.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2622.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 242.0, 880.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2645.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 270.0, 897.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2645.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 295.0, 959.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2646.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 311.0, 1003.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2646.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0]]",POV
0,150,75,"[[157.125, 157.09375, 205.0, 733.0, 157.1875, 157.0625, 9463.0, 48.0, 157.25, 157.03125, 2599.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 205.0, 784.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2622.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 217.0, 829.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2622.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 233.0, 858.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2645.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 289.0, 956.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2645.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 311.0, 976.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2646.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.09375, 157.09375, 37.0, 996.0, 157.125, 157.0625, 311.0, 49.0, 157.1875, 157.03125, 9463.0, 47.0, 157.25, 157.0, 2646.0, 659.0, 157.3125, 156.96875, 1651.0, 804.0], [157.09375, 157.09375, 24.0, 983.0, 157.125, 157.0625, 311.0, 49.0, 157.1875, 157.03125, 9463.0, 47.0, 157.25, 157.0, 2646.0, 659.0, 157.3125, 156.96875, 1651.0, 804.0], [157.09375, 157.09375, 45.0, 958.0, 157.125, 157.0625, 311.0, 49.0, 157.1875, 157.03125, 9463.0, 47.0, 157.25, 157.0, 2646.0, 659.0, 157.3125, 156.96875, 1651.0, 804.0], [157.09375, 157.09375, 4.0, 917.0, 157.125, 157.0625, 311.0, 49.0, 157.1875, 157.03125, 9463.0, 47.0, 157.25, 157.0, 2646.0, 659.0, 157.3125, 156.96875, 1651.0, 804.0]]",POV
0,495,78,"[[157.125, 157.09375, 204.0, 720.0, 157.1875, 157.0625, 9463.0, 48.0, 157.25, 157.03125, 2599.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 205.0, 782.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2622.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 227.0, 858.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2645.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 270.0, 910.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2645.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 289.0, 947.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2645.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 311.0, 961.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2646.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.09375, 157.09375, 43.0, 1002.0, 157.125, 157.0625, 311.0, 49.0, 157.1875, 157.03125, 9463.0, 47.0, 157.25, 157.0, 2646.0, 659.0, 157.3125, 156.96875, 1651.0, 804.0], [157.09375, 157.09375, 33.0, 992.0, 157.125, 157.0625, 311.0, 49.0, 157.1875, 157.03125, 9463.0, 47.0, 157.25, 157.0, 2646.0, 659.0, 157.3125, 156.96875, 1651.0, 804.0], [157.09375, 157.09375, 8.0, 967.0, 157.125, 157.0625, 311.0, 49.0, 157.1875, 157.03125, 9463.0, 47.0, 157.25, 157.0, 2646.0, 659.0, 157.3125, 156.96875, 1651.0, 804.0], [157.09375, 157.09375, 14.0, 927.0, 157.125, 157.0625, 311.0, 49.0, 157.1875, 157.03125, 9463.0, 47.0, 157.25, 157.0, 2646.0, 659.0, 157.3125, 156.96875, 1651.0, 804.0]]",POV
0,360,105,"[[157.125, 157.09375, 205.0, 728.0, 157.1875, 157.0625, 9463.0, 48.0, 157.25, 157.03125, 2599.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 211.0, 829.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2622.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 259.0, 886.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2645.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 281.0, 930.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2645.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.125, 157.09375, 311.0, 967.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2646.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0], [157.09375, 157.09375, 39.0, 998.0, 157.125, 157.0625, 311.0, 49.0, 157.1875, 157.03125, 9463.0, 47.0, 157.25, 157.0, 2646.0, 659.0, 157.3125, 156.96875, 1651.0, 804.0], [157.09375, 157.09375, 29.0, 988.0, 157.125, 157.0625, 311.0, 49.0, 157.1875, 157.03125, 9463.0, 47.0, 157.25, 157.0, 2646.0, 659.0, 157.3125, 156.96875, 1651.0, 804.0], [157.09375, 157.09375, 4.0, 963.0, 157.125, 157.0625, 311.0, 49.0, 157.1875, 157.03125, 9463.0, 47.0, 157.25, 157.0, 2646.0, 659.0, 157.3125, 156.96875, 1651.0, 804.0], [157.09375, 157.09375, 13.0, 926.0, 157.125, 157.0625, 311.0, 49.0, 157.1875, 157.03125, 9463.0, 47.0, 157.25, 157.0, 2646.0, 659.0, 157.3125, 156.96875, 1651.0, 804.0], [157.125, 157.09375, 311.0, 922.0, 157.1875, 157.0625, 9463.0, 49.0, 157.25, 157.03125, 2646.0, 47.0, 157.3125, 157.0, 1651.0, 659.0, 157.375, 156.96875, 517.0, 804.0]]",POV
0,70,36,"[[157.125, 157.09375, 1021.0, 52.0, 157.1875, 157.0625, 9530.0, 2.0, 157.25, 157.0, 2809.0, 1.0, 157.3125, 0.0, 1750.0, 0.0, 157.375, 0.0, 517.0, 0.0], [157.125, 157.09375, 1049.0, 52.0, 157.1875, 157.0625, 9530.0, 2.0, 157.25, 157.0, 2809.0, 1.0, 157.3125, 0.0, 1750.0, 0.0, 157.375, 0.0, 517.0, 0.0], [157.125, 157.09375, 1177.0, 87.0, 157.1875, 157.0625, 9532.0, 2.0, 157.25, 157.0, 2810.0, 1.0, 157.3125, 156.21875, 1750.0, 1.0, 157.375, 0.0, 517.0, 0.0], [157.125, 157.09375, 1183.0, 102.0, 157.1875, 157.0625, 9533.0, 2.0, 157.25, 157.0, 2815.0, 1.0, 157.3125, 156.21875, 1750.0, 1.0, 157.375, 0.0, 517.0, 0.0], [157.125, 157.09375, 1156.0, 102.0, 157.1875, 157.0625, 9535.0, 3.0, 157.25, 157.0, 2815.0, 6.0, 157.3125, 156.9375, 1750.0, 19.0, 157.375, 156.21875, 517.0, 1.0], [157.125, 157.09375, 1121.0, 102.0, 157.1875, 157.0625, 9535.0, 3.0, 157.25, 157.0, 2815.0, 6.0, 157.3125, 156.9375, 1750.0, 19.0, 157.375, 156.21875, 517.0, 1.0], [157.125, 157.125, 1102.0, 4.0, 157.1875, 157.09375, 9542.0, 102.0, 157.25, 157.0625, 2815.0, 3.0, 157.3125, 157.0, 1750.0, 6.0, 157.375, 156.9375, 517.0, 19.0], [157.125, 157.09375, 1062.0, 102.0, 157.1875, 157.0625, 9542.0, 3.0, 157.25, 157.0, 2815.0, 6.0, 157.3125, 156.9375, 1750.0, 38.0, 157.375, 156.21875, 517.0, 1.0], [157.09375, 157.09375, 1.0, 70.0, 157.125, 157.0625, 1029.0, 3.0, 157.1875, 157.0, 9547.0, 6.0, 157.25, 156.9375, 2815.0, 48.0, 157.3125, 156.21875, 1750.0, 1.0], [157.09375, 157.09375, 10.0, 41.0, 157.125, 157.0625, 1107.0, 3.0, 157.1875, 157.0, 9548.0, 6.0, 157.25, 156.9375, 2815.0, 48.0, 157.3125, 156.21875, 1750.0, 1.0]]",TWAP
0,70,63,"[[157.125, 157.09375, 1061.0, 52.0, 157.1875, 157.0625, 9530.0, 2.0, 157.25, 157.0, 2810.0, 1.0, 157.3125, 0.0, 1750.0, 0.0, 157.375, 0.0, 517.0, 0.0], [157.125, 157.09375, 1077.0, 62.0, 157.1875, 157.0625, 9532.0, 2.0, 157.25, 157.0, 2810.0, 1.0, 157.3125, 0.0, 1750.0, 0.0, 157.375, 0.0, 517.0, 0.0], [157.125, 157.09375, 1126.0, 62.0, 157.1875, 157.0625, 9532.0, 2.0, 157.25, 157.0, 2810.0, 1.0, 157.3125, 0.0, 1750.0, 0.0, 157.375, 0.0, 517.0, 0.0], [157.125, 157.09375, 1165.0, 87.0, 157.1875, 157.0625, 9532.0, 2.0, 157.25, 157.0, 2810.0, 1.0, 157.3125, 156.21875, 1750.0, 1.0, 157.375, 0.0, 517.0, 0.0], [157.125, 157.09375, 1190.0, 101.0, 157.1875, 157.0625, 9533.0, 2.0, 157.25, 157.0, 2810.0, 1.0, 157.3125, 156.21875, 1750.0, 1.0, 157.375, 0.0, 517.0, 0.0], [157.125, 157.09375, 1168.0, 102.0, 157.1875, 157.0625, 9535.0, 3.0, 157.25, 157.0, 2815.0, 6.0, 157.3125, 156.9375, 1750.0, 19.0, 157.375, 156.21875, 517.0, 1.0], [157.125, 157.09375, 1112.0, 102.0, 157.1875, 157.0625, 9541.0, 3.0, 157.25, 157.0, 2815.0, 6.0, 157.3125, 156.9375, 1750.0, 19.0, 157.375, 156.21875, 517.0, 1.0], [157.125, 157.125, 1075.0, 7.0, 157.1875, 157.09375, 9542.0, 102.0, 157.25, 157.0625, 2815.0, 3.0, 157.3125, 157.0, 1750.0, 6.0, 157.375, 156.9375, 517.0, 38.0], [157.125, 157.09375, 1037.0, 102.0, 157.1875, 157.0625, 9542.0, 3.0, 157.25, 157.0, 2815.0, 6.0, 157.3125, 156.9375, 1750.0, 38.0, 157.375, 156.21875, 517.0, 1.0], [157.09375, 157.09375, 9.0, 84.0, 157.125, 157.0625, 1035.0, 3.0, 157.1875, 157.0, 9547.0, 6.0, 157.25, 156.9375, 2815.0, 48.0, 157.3125, 156.21875, 1750.0, 1.0]]",VWAP
0,485,63,"[[157.125, 157.09375, 1172.0, 102.0, 157.1875, 157.0625, 9533.0, 3.0, 157.25, 157.0, 2815.0, 6.0, 157.3125, 156.21875, 1750.0, 1.0, 157.375, 0.0, 517.0, 0.0], [157.125, 157.09375, 1136.0, 102.0, 157.1875, 157.0625, 9535.0, 3.0, 157.25, 157.0, 2815.0, 6.0, 157.3125, 156.9375, 1750.0, 19.0, 157.375, 156.21875, 517.0, 1.0], [157.125, 157.09375, 1112.0, 102.0, 157.1875, 157.0625, 9539.0, 3.0, 157.25, 157.0, 2815.0, 6.0, 157.3125, 156.9375, 1750.0, 19.0, 157.375, 156.21875, 517.0, 1.0], [157.125, 157.09375, 1086.0, 102.0, 157.1875, 157.0625, 9542.0, 3.0, 157.25, 157.0, 2815.0, 6.0, 157.3125, 156.9375, 1750.0, 38.0, 157.375, 156.21875, 517.0, 1.0], [157.125, 157.09375, 1044.0, 102.0, 157.1875, 157.0625, 9542.0, 3.0, 157.25, 157.0, 2815.0, 6.0, 157.3125, 156.9375, 1750.0, 38.0, 157.375, 156.21875, 517.0, 1.0], [157.125, 157.09375, 1036.0, 102.0, 157.1875, 157.0625, 9542.0, 3.0, 157.25, 157.0, 2815.0, 6.0, 157.3125, 156.9375, 1750.0, 38.0, 157.375, 156.21875, 517.0, 1.0], [157.125, 157.09375, 1054.0, 55.0, 157.1875, 157.0625, 9547.0, 3.0, 157.25, 157.0, 2815.0, 6.0, 157.3125, 156.9375, 1750.0, 48.0, 157.375, 156.21875, 517.0, 1.0], [157.125, 157.09375, 1160.0, 13.0, 157.1875, 157.0625, 9548.0, 3.0, 157.25, 157.0, 2815.0, 6.0, 157.3125, 156.9375, 1750.0, 48.0, 157.375, 156.21875, 517.0, 1.0], [157.125, 157.0, 1159.0, 6.0, 157.1875, 156.96875, 9549.0, 1.0, 157.25, 156.9375, 2815.0, 48.0, 157.3125, 156.21875, 1750.0, 1.0, 157.375, 0.0, 517.0, 0.0], [157.0, 157.125, 9.0, 1.0, 157.0625, 156.9375, 9.0, 44.0, 157.09375, 156.21875, 29.0, 1.0, 157.125, 0.0, 1161.0, 0.0, 157.1875, 0.0, 9549.0, 0.0]]",TWAP
0,390,66,"[[157.125, 157.09375, 1032.0, 52.0, 157.1875, 157.0625, 9530.0, 2.0, 157.25, 157.0, 2809.0, 1.0, 157.3125, 0.0, 1750.0, 0.0, 157.375, 0.0, 517.0, 0.0], [157.125, 157.09375, 1106.0, 62.0, 157.1875, 157.0625, 9532.0, 2.0, 157.25, 157.0, 2810.0, 1.0, 157.3125, 0.0, 1750.0, 0.0, 157.375, 0.0, 517.0, 0.0], [157.125, 157.09375, 1182.0, 87.0, 157.1875, 157.0625, 9532.0, 2.0, 157.25, 157.0, 2810.0, 1.0, 157.3125, 156.21875, 1750.0, 1.0, 157.375, 0.0, 517.0, 0.0], [157.125, 157.125, 1182.0, 1.0, 157.1875, 157.09375, 9533.0, 102.0, 157.25, 157.0625, 2815.0, 2.0, 157.3125, 157.0, 1750.0, 6.0, 157.375, 156.21875, 517.0, 1.0], [157.125, 157.09375, 1151.0, 102.0, 157.1875, 157.0625, 9535.0, 3.0, 157.25, 157.0, 2815.0, 6.0, 157.3125, 156.9375, 1750.0, 19.0, 157.375, 156.21875, 517.0, 1.0], [157.125, 157.125, 1096.0, 1.0, 157.1875, 157.09375, 9542.0, 102.0, 157.25, 157.0625, 2815.0, 3.0, 157.3125, 157.0, 1750.0, 6.0, 157.375, 156.9375, 517.0, 19.0], [157.125, 157.09375, 1058.0, 102.0, 157.1875, 157.0625, 9542.0, 3.0, 157.25, 157.0, 2815.0, 6.0, 157.3125, 156.9375, 1750.0, 38.0, 157.375, 156.21875, 517.0, 1.0], [157.125, 157.09375, 1040.0, 102.0, 157.1875, 157.0625, 9542.0, 3.0, 157.25, 157.0, 2815.0, 6.0, 157.3125, 156.9375, 1750.0, 38.0, 157.375, 156.21875, 517.0, 1.0], [157.09375, 157.09375, 1.0, 97.0, 157.125, 157.0625, 1029.0, 3.0, 157.1875, 157.0, 9543.0, 6.0, 157.25, 156.9375, 2815.0, 48.0, 157.3125, 156.21875, 1750.0, 1.0], [157.09375, 157.09375, 1.0, 66.0, 157.125, 157.0625, 1044.0, 3.0, 157.1875, 157.0, 9547.0, 6.0, 157.25, 156.9375, 2815.0, 48.0, 157.3125, 156.21875, 1750.0, 1.0]]",POV
0,255,102,"[[157.125, 157.09375, 1142.0, 65.0, 157.1875, 157.0625, 9532.0, 2.0, 157.25, 157.0, 2810.0, 1.0, 157.3125, 156.21875, 1750.0, 1.0, 157.375, 0.0, 517.0, 0.0], [157.125, 157.09375, 1192.0, 98.0, 157.1875, 157.0625, 9533.0, 2.0, 157.25, 157.0, 2810.0, 1.0, 157.3125, 156.21875, 1750.0, 1.0, 157.375, 0.0, 517.0, 0.0], [157.125, 157.125, 1171.0, 1.0, 157.1875, 157.09375, 9535.0, 102.0, 157.25, 157.0625, 2815.0, 3.0, 157.3125, 157.0, 1750.0, 6.0, 157.375, 156.21875, 517.0, 1.0], [157.125, 157.125, 1135.0, 2.0, 157.1875, 157.09375, 9535.0, 102.0, 157.25, 157.0625, 2815.0, 3.0, 157.3125, 157.0, 1750.0, 6.0, 157.375, 156.9375, 517.0, 19.0], [157.125, 157.125, 1083.0, 5.0, 157.1875, 157.09375, 9542.0, 102.0, 157.25, 157.0625, 2815.0, 3.0, 157.3125, 157.0, 1750.0, 6.0, 157.375, 156.9375, 517.0, 38.0], [157.125, 157.09375, 1042.0, 102.0, 157.1875, 157.0625, 9542.0, 3.0, 157.25, 157.0, 2815.0, 6.0, 157.3125, 156.9375, 1750.0, 38.0, 157.375, 156.21875, 517.0, 1.0], [157.09375, 157.09375, 2.0, 51.0, 157.125, 157.0625, 1054.0, 3.0, 157.1875, 157.0, 9547.0, 6.0, 157.25, 156.9375, 2815.0, 48.0, 157.3125, 156.21875, 1750.0, 1.0], [157.125, 157.125, 1159.0, 5.0, 157.1875, 157.09375, 9549.0, 13.0, 157.25, 157.0625, 2815.0, 3.0, 157.3125, 157.0, 1750.0, 6.0, 157.375, 156.9375, 517.0, 48.0], [157.125, 156.96875, 1159.0, 1.0, 157.1875, 156.9375, 9549.0, 48.0, 157.25, 156.21875, 2815.0, 1.0, 157.3125, 0.0, 1750.0, 0.0, 157.375, 0.0, 517.0, 0.0], [157.0, 157.125, 7.0, 6.0, 157.0625, 156.9375, 9.0, 44.0, 157.09375, 156.21875, 29.0, 1.0, 157.125, 0.0, 1161.0, 0.0, 157.1875, 0.0, 9549.0, 0.0]]",TWAP
0,480,18,"[[157.125, 157.09375, 775.0, 38.0, 157.1875, 157.0625, 9685.0, 4.0, 157.25, 157.0, 2912.0, 25.0, 157.3125, 156.9375, 1894.0, 104.0, 157.375, 0.0, 518.0, 0.0], [157.125, 157.09375, 730.0, 38.0, 157.1875, 157.0625, 9689.0, 5.0, 157.25, 157.0, 3005.0, 25.0, 157.3125, 156.9375, 1894.0, 104.0, 157.375, 0.0, 518.0, 0.0], [157.125, 157.09375, 688.0, 38.0, 157.1875, 157.0625, 9694.0, 5.0, 157.25, 157.0, 3005.0, 25.0, 157.3125, 156.9375, 1894.0, 104.0, 157.375, 0.0, 518.0, 0.0], [157.125, 157.09375, 670.0, 38.0, 157.1875, 157.0625, 9716.0, 5.0, 157.25, 157.0, 3031.0, 25.0, 157.3125, 156.9375, 1894.0, 104.0, 157.375, 0.0, 518.0, 0.0], [157.125, 157.09375, 640.0, 38.0, 157.1875, 157.0625, 9716.0, 5.0, 157.25, 157.0, 3031.0, 25.0, 157.3125, 156.9375, 1894.0, 104.0, 157.375, 0.0, 518.0, 0.0], [157.125, 157.125, 547.0, 4.0, 157.1875, 157.09375, 9724.0, 38.0, 157.25, 157.0625, 3031.0, 5.0, 157.3125, 157.0, 1894.0, 25.0, 157.375, 156.9375, 518.0, 104.0], [157.125, 157.09375, 541.0, 38.0, 157.1875, 157.0625, 9724.0, 5.0, 157.25, 157.0, 3031.0, 25.0, 157.3125, 156.96875, 1894.0, 10.0, 157.375, 156.9375, 518.0, 104.0], [157.125, 157.09375, 543.0, 38.0, 157.1875, 157.0625, 9724.0, 5.0, 157.25, 157.0, 3031.0, 25.0, 157.3125, 156.96875, 1894.0, 11.0, 157.375, 156.9375, 522.0, 104.0], [157.125, 157.09375, 536.0, 38.0, 157.1875, 157.0625, 9724.0, 5.0, 157.25, 157.0, 3031.0, 25.0, 157.3125, 156.96875, 1894.0, 11.0, 157.375, 156.9375, 522.0, 104.0], [157.125, 157.09375, 528.0, 38.0, 157.1875, 157.0625, 9724.0, 5.0, 157.25, 157.0, 3031.0, 25.0, 157.3125, 156.96875, 1894.0, 11.0, 157.375, 156.9375, 522.0, 104.0]]",POV
